"","x"
"1","PPP1R21"
"2","FHL2"
"3","SLC2A1-AS1"
"4","LOC375196"
"5","LINC01816"
"6","GRID2"
"7","SRSF11"
"8","TBX15"
"9","IP6K1"
"10","CD46"
"11","CLASP1"
"12","ISY1-RAB43"
"13","GFI1"
"14","PBXIP1"
"15","DPY30"
"16","MINOS1-NBL1"
"17","EML6"
"18","DHX36"
"19","PLXNA2"
"20","GRM2"
"21","TTC14"
"22","TNIP2"
"23","PLEKHA6"
"24","TIMP4"
